Sample_ID	Target	Quantity_mean	Plate	Snail ID	Tank ID	Species	Population	Type	Type code	Tube Code
A.1.Ba.G	16s	1257593.594	1	A	1	Ba	Ba	Gut	G	A1 Ba G
A.1.Ba.H	16s	4253.869019	1	A	1	Ba	Ba	Hemolymph	H	A1 Ba H
A.1.Ba.L	16s	561500.0391	1	A	1	Ba	Ba	Hepatopancreas	L	A1 Ba L
A.1.Ba.O	16s	78770.71289	1	A	1	Ba	Ba	Ovotestis	O	A1 Ba O
A.1.Ba.S	16s	382727.8125	1	A	1	Ba	Ba	Stomach	S	A1 Ba S
A.2.Ba.G	16s	279134.9609	1	A	2	Ba	Ba	Gut	G	A2 Ba G
A.2.Ba.H	16s	210769.5313	1	A	2	Ba	Ba	Hemolymph	H	A2 Ba H
A.2.Ba.L	16s	343357.1875	1	A	2	Ba	Ba	Hepatopancreas	L	A2 Ba L
A.2.Ba.O	16s	82051.93359	1	A	2	Ba	Ba	Ovotestis	O	A2 Ba O
A.2.Ba.S	16s	425148.4375	1	A	2	Ba	Ba	Stomach	S	A2 Ba S
B.1.Ba.G	16s	880037.4219	3	B	1	Ba	Ba	Gut	G	B1 Ba G
B.1.Ba.H	16s	873.3045197	3	B	1	Ba	Ba	Hemolymph	H	B1 Ba H
B.1.Ba.L	16s	1931448.438	3	B	1	Ba	Ba	Hepatopancreas	L	B1 Ba L
B.1.Ba.O	16s	75194.05273	3	B	1	Ba	Ba	Ovotestis	O	B1 Ba O
B.1.Ba.S	16s	620915.8594	3	B	1	Ba	Ba	Stomach	S	B1 Ba S
B.2.Ba.G	16s	2203998.125	3	B	2	Ba	Ba	Gut	G	B2 Ba G
B.2.Ba.H	16s	4351.192322	3	B	2	Ba	Ba	Hemolymph	H	B2 Ba H
B.2.Ba.L	16s	943963.3594	3	B	2	Ba	Ba	Hepatopancreas	L	B2 Ba L
B.2.Ba.O	16s	164378.1445	3	B	2	Ba	Ba	Ovotestis	O	B2 Ba O
B.2.Ba.S	16s	1127771.406	3	B	2	Ba	Ba	Stomach	S	B2 Ba S
C.1.Ba.G	16s	786387.3438	3	C	1	Ba	Ba	Gut	G	C1 Ba G
C.1.Ba.H	16s	1020.65094	3	C	1	Ba	Ba	Hemolymph	H	C1 Ba H
C.1.Ba.L	16s	2928446.25	3	C	1	Ba	Ba	Hepatopancreas	L	C1 Ba L
C.1.Ba.O	16s	67713.99414	3	C	1	Ba	Ba	Ovotestis	O	C1 Ba O
C.1.Ba.S	16s	859071.9531	3	C	1	Ba	Ba	Stomach	S	C1 Ba S
C.2.Ba.G	16s	554621.875	3	C	2	Ba	Ba	Gut	G	C2 Ba G
C.2.Ba.H	16s	269.3666458	3	C	2	Ba	Ba	Hemolymph	H	C2 Ba H
C.2.Ba.L	16s	527987.4219	3	C	2	Ba	Ba	Hepatopancreas	L	C2 Ba L
C.2.Ba.O	16s	11391.17676	3	C	2	Ba	Ba	Ovotestis	O	C2 Ba O
C.2.Ba.S	16s	1049758.047	3	C	2	Ba	Ba	Stomach	S	C2 Ba S
D.1.Ba.G	16s	209803.125	1	D	1	Ba	Ba	Gut	G	D1 Ba G
D.1.Ba.H	16s	1115.8255	1	D	1	Ba	Ba	Hemolymph	H	D1 Ba H
D.1.Ba.L	16s	43580.24902	1	D	1	Ba	Ba	Hepatopancreas	L	D1 Ba L
D.1.Ba.O	16s	8123.587646	1	D	1	Ba	Ba	Ovotestis	O	D1 Ba O
D.1.Ba.S	16s	229824.8438	1	D	1	Ba	Ba	Stomach	S	D1 Ba S
D.2.Ba.G	16s	261140.332	1	D	2	Ba	Ba	Gut	G	D2 Ba G
D.2.Ba.H	16s	771.9488525	1	D	2	Ba	Ba	Hemolymph	H	D2 Ba H
D.2.Ba.L	16s	2819.256287	1	D	2	Ba	Ba	Hepatopancreas	L	D2 Ba L
D.2.Ba.O	16s	4059.265137	1	D	2	Ba	Ba	Ovotestis	O	D2 Ba O
D.2.Ba.S	16s	136160.5371	1	D	2	Ba	Ba	Stomach	S	D2 Ba S
E.1.Ba.G	16s	503.7766266	5	E	1	Ba	Ba	Gut	G	E1 Ba G
E.1.Ba.H	16s	100.147295	2	E	1	Ba	Ba	Hemolymph	H	E1 Ba H
E.1.Ba.L	16s	1371076.25	2	E	1	Ba	Ba	Hepatopancreas	L	E1 Ba L
E.1.Ba.O	16s	9628.602905	2	E	1	Ba	Ba	Ovotestis	O	E1 Ba O
E.1.Ba.S	16s	310796.7578	2	E	1	Ba	Ba	Stomach	S	E1 Ba S
E.2.Ba.G	16s	8287.648926	2	E	2	Ba	Ba	Gut	G	E2 Ba G
E.2.Ba.H	16s	10480.85327	2	E	2	Ba	Ba	Hemolymph	H	E2 Ba H
E.2.Ba.L	16s	83892.68555	2	E	2	Ba	Ba	Hepatopancreas	L	E2 Ba L
E.2.Ba.O	16s	9651.282959	2	E	2	Ba	Ba	Ovotestis	O	E2 Ba O
E.2.Ba.S	16s	187757.8711	2	E	2	Ba	Ba	Stomach	S	E2 Ba S
F.1.Ba.W	16s	857.4410248	5	F	1	Ba	Ba	Whole snail	W	F1 Ba W
F.2.Ba.W	16s	54.02769566	5	F	2	Ba	Ba	Whole snail	W	F2 Ba W
G.1.Ba.W	16s	36.6792345	5	G	1	Ba	Ba	Whole snail	W	G1 Ba W
G.2.Ba.W	16s	12265.23804	5	G	2	Ba	Ba	Whole snail	W	G2 Ba W
A.1.Ba.G	piwi4	34494.50195	1	A	1	Ba	Ba	Gut	G	A1 Ba G
A.1.Ba.L	piwi4	28312.67334	1	A	1	Ba	Ba	Hepatopancreas	L	A1 Ba L
A.1.Ba.O	piwi4	33581.44531	1	A	1	Ba	Ba	Ovotestis	O	A1 Ba O
A.1.Ba.S	piwi4	36159.47754	1	A	1	Ba	Ba	Stomach	S	A1 Ba S
A.2.Ba.G	piwi4	30060.19043	1	A	2	Ba	Ba	Gut	G	A2 Ba G
A.2.Ba.L	piwi4	11047.65991	1	A	2	Ba	Ba	Hepatopancreas	L	A2 Ba L
A.2.Ba.O	piwi4	21842.66357	1	A	2	Ba	Ba	Ovotestis	O	A2 Ba O
A.2.Ba.S	piwi4	20089.15527	1	A	2	Ba	Ba	Stomach	S	A2 Ba S
B.1.Ba.G	piwi4	74511.39648	3	B	1	Ba	Ba	Gut	G	B1 Ba G
B.1.Ba.L	piwi4	23916.12305	3	B	1	Ba	Ba	Hepatopancreas	L	B1 Ba L
B.1.Ba.O	piwi4	83764.4043	3	B	1	Ba	Ba	Ovotestis	O	B1 Ba O
B.1.Ba.S	piwi4	20685.03418	3	B	1	Ba	Ba	Stomach	S	B1 Ba S
B.2.Ba.G	piwi4	6887.468262	3	B	2	Ba	Ba	Gut	G	B2 Ba G
B.2.Ba.L	piwi4	10938.85986	3	B	2	Ba	Ba	Hepatopancreas	L	B2 Ba L
B.2.Ba.O	piwi4	41269.94629	3	B	2	Ba	Ba	Ovotestis	O	B2 Ba O
B.2.Ba.S	piwi4	12521.05957	3	B	2	Ba	Ba	Stomach	S	B2 Ba S
C.1.Ba.G	piwi4	110220.2539	3	C	1	Ba	Ba	Gut	G	C1 Ba G
C.1.Ba.L	piwi4	124368.6328	3	C	1	Ba	Ba	Hepatopancreas	L	C1 Ba L
C.1.Ba.O	piwi4	100051.3477	3	C	1	Ba	Ba	Ovotestis	O	C1 Ba O
C.1.Ba.S	piwi4	33615.26611	3	C	1	Ba	Ba	Stomach	S	C1 Ba S
C.2.Ba.G	piwi4	65678.67676	3	C	2	Ba	Ba	Gut	G	C2 Ba G
C.2.Ba.L	piwi4	39784.87305	3	C	2	Ba	Ba	Hepatopancreas	L	C2 Ba L
C.2.Ba.O	piwi4	27245.17578	3	C	2	Ba	Ba	Ovotestis	O	C2 Ba O
C.2.Ba.S	piwi4	23951.12305	3	C	2	Ba	Ba	Stomach	S	C2 Ba S
D.1.Ba.G	piwi4	7608.444824	1	D	1	Ba	Ba	Gut	G	D1 Ba G
D.1.Ba.L	piwi4	13203.97949	1	D	1	Ba	Ba	Hepatopancreas	L	D1 Ba L
D.1.Ba.O	piwi4	25731.22559	1	D	1	Ba	Ba	Ovotestis	O	D1 Ba O
D.1.Ba.S	piwi4	7015.338135	1	D	1	Ba	Ba	Stomach	S	D1 Ba S
D.2.Ba.G	piwi4	17928.25928	1	D	2	Ba	Ba	Gut	G	D2 Ba G
D.2.Ba.L	piwi4	21671.75293	1	D	2	Ba	Ba	Hepatopancreas	L	D2 Ba L
D.2.Ba.O	piwi4	49224.08691	1	D	2	Ba	Ba	Ovotestis	O	D2 Ba O
D.2.Ba.S	piwi4	11258.46802	1	D	2	Ba	Ba	Stomach	S	D2 Ba S
E.1.Ba.G	piwi4	3.48829359	2	E	1	Ba	Ba	Gut	G	E1 Ba G
E.1.Ba.L	piwi4	19823.57666	2	E	1	Ba	Ba	Hepatopancreas	L	E1 Ba L
E.1.Ba.O	piwi4	38678.13965	2	E	1	Ba	Ba	Ovotestis	O	E1 Ba O
E.1.Ba.S	piwi4	16336.61865	2	E	1	Ba	Ba	Stomach	S	E1 Ba S
E.2.Ba.G	piwi4	25091.63086	2	E	2	Ba	Ba	Gut	G	E2 Ba G
E.2.Ba.L	piwi4	4981.442261	2	E	2	Ba	Ba	Hepatopancreas	L	E2 Ba L
E.2.Ba.O	piwi4	66539.36523	2	E	2	Ba	Ba	Ovotestis	O	E2 Ba O
E.2.Ba.S	piwi4	20772.27783	2	E	2	Ba	Ba	Stomach	S	E2 Ba S
F.1.Ba.W	piwi4	950.5921173	5	F	1	Ba	Ba	Whole snail	W	F1 Ba W
F.2.Ba.W	piwi4	1934.557953	5	F	2	Ba	Ba	Whole snail	W	F2 Ba W
G.1.Ba.W	piwi4	1992.128448	5	G	1	Ba	Ba	Whole snail	W	G1 Ba W
G.2.Ba.W	piwi4	3720.122375	5	G	2	Ba	Ba	Whole snail	W	G2 Ba W
A.3.BgBS90.G	16s	462396.4844	1	A	3	Bg	BgBS90	Gut	G	A3 BgBS90 G
A.3.BgBS90.H	16s	8292.44873	1	A	3	Bg	BgBS90	Hemolymph	H	A3 BgBS90 H
A.3.BgBS90.L	16s	12688.97705	1	A	3	Bg	BgBS90	Hepatopancreas	L	A3 BgBS90 L
A.3.BgBS90.O	16s	5665.350342	1	A	3	Bg	BgBS90	Ovotestis	O	A3 BgBS90 O
A.3.BgBS90.S	16s	317542.2266	1	A	3	Bg	BgBS90	Stomach	S	A3 BgBS90 S
A.4.BgBS90.G	16s	48167.20703	1	A	4	Bg	BgBS90	Gut	G	A4 BgBS90 G
A.4.BgBS90.H	16s	5391.229858	1	A	4	Bg	BgBS90	Hemolymph	H	A4 BgBS90 H
A.4.BgBS90.L	16s	11624.06494	1	A	4	Bg	BgBS90	Hepatopancreas	L	A4 BgBS90 L
A.4.BgBS90.O	16s	3968.885498	1	A	4	Bg	BgBS90	Ovotestis	O	A4 BgBS90 O
A.4.BgBS90.S	16s	179689.7656	1	A	4	Bg	BgBS90	Stomach	S	A4 BgBS90 S
B.3.BgBS90.G	16s	510936.6797	2	B	3	Bg	BgBS90	Gut	G	B3 BgBS90 G
B.3.BgBS90.H	16s	1134.314194	3	B	3	Bg	BgBS90	Hemolymph	H	B3 BgBS90 H
B.3.BgBS90.L	16s	12033.71582	3	B	3	Bg	BgBS90	Hepatopancreas	L	B3 BgBS90 L
B.3.BgBS90.O	16s	2196.008148	3	B	3	Bg	BgBS90	Ovotestis	O	B3 BgBS90 O
B.3.BgBS90.S	16s	69546.5625	3	B	3	Bg	BgBS90	Stomach	S	B3 BgBS90 S
B.4.BgBS90.G	16s	796527.6563	3	B	4	Bg	BgBS90	Gut	G	B4 BgBS90 G
B.4.BgBS90.H	16s	518.7121582	3	B	4	Bg	BgBS90	Hemolymph	H	B4 BgBS90 H
B.4.BgBS90.L	16s	2401.121826	3	B	4	Bg	BgBS90	Hepatopancreas	L	B4 BgBS90 L
B.4.BgBS90.O	16s	3062.96814	3	B	4	Bg	BgBS90	Ovotestis	O	B4 BgBS90 O
B.4.BgBS90.S	16s	292376.3281	3	B	4	Bg	BgBS90	Stomach	S	B2 BgBS90 S
C.3.BgBS90.G	16s	587606.2109	4	C	3	Bg	BgBS90	Gut	G	C3 BgBS90 G
C.3.BgBS90.H	16s	2897.270813	4	C	3	Bg	BgBS90	Hemolymph	H	C3 BgBS90 H
C.3.BgBS90.L	16s	209556.5234	4	C	3	Bg	BgBS90	Hepatopancreas	L	C3 BgBS90 L
C.3.BgBS90.O	16s	104918.6133	4	C	3	Bg	BgBS90	Ovotestis	O	C3 BgBS90 O
C.3.BgBS90.S	16s	754522.8906	4	C	3	Bg	BgBS90	Stomach	S	C3 BgBS90 S
C.4.BgBS90.G	16s	1449096.875	4	C	4	Bg	BgBS90	Gut	G	C4 BgBS90 G
C.4.BgBS90.H	16s	1223.964233	4	C	4	Bg	BgBS90	Hemolymph	H	C4 BgBS90 H
C.4.BgBS90.L	16s	3176.956177	4	C	4	Bg	BgBS90	Hepatopancreas	L	C4 BgBS90 L
C.4.BgBS90.O	16s	7137.65625	4	C	4	Bg	BgBS90	Ovotestis	O	C4 BgBS90 O
C.4.BgBS90.S	16s	183719.707	4	C	4	Bg	BgBS90	Stomach	S	C4 BgBS90 S
D.3.BgBS90.G	16s	531438.0469	3	D	3	Bg	BgBS90	Gut	G	D3 BgBS90 G
D.3.BgBS90.H	16s	505.7080841	2	D	3	Bg	BgBS90	Hemolymph	H	D3 BgBS90 H
D.3.BgBS90.L	16s	9865.98877	2	D	3	Bg	BgBS90	Hepatopancreas	L	D3 BgBS90 L
D.3.BgBS90.O	16s	2776.099854	2	D	3	Bg	BgBS90	Ovotestis	O	D3 BgBS90 O
D.3.BgBS90.S	16s	133929.1992	2	D	3	Bg	BgBS90	Stomach	S	D3 BgBS90 S
D.4.BgBS90.G	16s	579608.9063	2	D	4	Bg	BgBS90	Gut	G	D4 BgBS90 G
D.4.BgBS90.H	16s	3409.967041	2	D	4	Bg	BgBS90	Hemolymph	H	D4 BgBS90 H
D.4.BgBS90.L	16s	7739.594727	2	D	4	Bg	BgBS90	Hepatopancreas	L	D4 BgBS90 L
D.4.BgBS90.O	16s	28160.92773	2	D	4	Bg	BgBS90	Ovotestis	O	D4 BgBS90 O
D.4.BgBS90.S	16s	554554.2578	2	D	4	Bg	BgBS90	Stomach	S	D4 BgBS90 S
E.3.BgBS90.G	16s	164743.7891	2	E	3	Bg	BgBS90	Gut	G	E3 BgBS90 G
E.3.BgBS90.H	16s	213.9753151	2	E	3	Bg	BgBS90	Hemolymph	H	E3 BgBS90 H
E.3.BgBS90.L	16s	2673.79303	2	E	3	Bg	BgBS90	Hepatopancreas	L	E3 BgBS90 L
E.3.BgBS90.O	16s	2647.142334	2	E	3	Bg	BgBS90	Ovotestis	O	E3 BgBS90 O
E.3.BgBS90.S	16s	59364.87793	2	E	3	Bg	BgBS90	Stomach	S	E3 BgBS90 S
E.4.BgBS90.G	16s	379746.1719	2	E	4	Bg	BgBS90	Gut	G	E4 BgBS90 G
E.4.BgBS90.H	16s	26823.14453	2	E	4	Bg	BgBS90	Hemolymph	H	E4 BgBS90 H
E.4.BgBS90.L	16s	7664.212646	2	E	4	Bg	BgBS90	Hepatopancreas	L	E4 BgBS90 L
E.4.BgBS90.O	16s	11228.49609	2	E	4	Bg	BgBS90	Ovotestis	O	E4 BgBS90 O
E.4.BgBS90.S	16s	611178.8672	2	E	4	Bg	BgBS90	Stomach	S	E4 BgBS90 S
F.3.BgBS90.W	16s	13295.72021	1	F	3	Bg	BgBS90	Whole snail	W	F3 BgBS90 W
F.4.BgBS90.W	16s	282.4578285	1	F	4	Bg	BgBS90	Whole snail	W	F4 BgBS90 W
G.3.BgBS90.W	16s	55181.61133	3	G	3	Bg	BgBS90	Whole snail	W	G3 BgBS90 W
G.4.BgBS90.W	16s	48245.68848	4	G	4	Bg	BgBS90	Whole snail	W	G4 BgBS90 W
A.3.BgBS90.G	piwi4	19621.81641	1	A	3	Bg	BgBS90	Gut	G	A3 BgBS90 G
A.3.BgBS90.L	piwi4	37027.90527	1	A	3	Bg	BgBS90	Hepatopancreas	L	A3 BgBS90 L
A.3.BgBS90.O	piwi4	51340.15625	1	A	3	Bg	BgBS90	Ovotestis	O	A3 BgBS90 O
A.3.BgBS90.S	piwi4	16521.02783	1	A	3	Bg	BgBS90	Stomach	S	A3 BgBS90 S
A.4.BgBS90.G	piwi4	2097.951965	1	A	4	Bg	BgBS90	Gut	G	A4 BgBS90 G
A.4.BgBS90.L	piwi4	2791.114197	1	A	4	Bg	BgBS90	Hepatopancreas	L	A4 BgBS90 L
A.4.BgBS90.O	piwi4	15455.4541	1	A	4	Bg	BgBS90	Ovotestis	O	A4 BgBS90 O
A.4.BgBS90.S	piwi4	3248.742065	1	A	4	Bg	BgBS90	Stomach	S	A4 BgBS90 S
B.3.BgBS90.G	piwi4	14586.56494	3	B	3	Bg	BgBS90	Gut	G	B3 BgBS90 G
B.3.BgBS90.L	piwi4	9032.056885	3	B	3	Bg	BgBS90	Hepatopancreas	L	B3 BgBS90 L
B.3.BgBS90.O	piwi4	61671.5625	3	B	3	Bg	BgBS90	Ovotestis	O	B3 BgBS90 O
B.3.BgBS90.S	piwi4	16957.33887	3	B	3	Bg	BgBS90	Stomach	S	B3 BgBS90 S
B.4.BgBS90.G	piwi4	13428.88428	3	B	4	Bg	BgBS90	Gut	G	B4 BgBS90 G
B.4.BgBS90.L	piwi4	22970.41016	3	B	4	Bg	BgBS90	Hepatopancreas	L	B4 BgBS90 L
B.4.BgBS90.O	piwi4	146210.3418	3	B	4	Bg	BgBS90	Ovotestis	O	B4 BgBS90 O
B.4.BgBS90.S	piwi4	30365.78857	3	B	4	Bg	BgBS90	Stomach	S	B2 BgBS90 S
C.3.BgBS90.G	piwi4	8062.861938	4	C	3	Bg	BgBS90	Gut	G	C3 BgBS90 G
C.3.BgBS90.L	piwi4	4068.271484	4	C	3	Bg	BgBS90	Hepatopancreas	L	C3 BgBS90 L
C.3.BgBS90.O	piwi4	49637.35352	4	C	3	Bg	BgBS90	Ovotestis	O	C3 BgBS90 O
C.3.BgBS90.S	piwi4	16529.46777	4	C	3	Bg	BgBS90	Stomach	S	C3 BgBS90 S
C.4.BgBS90.G	piwi4	9778.266602	4	C	4	Bg	BgBS90	Gut	G	C4 BgBS90 G
C.4.BgBS90.L	piwi4	26761.0083	4	C	4	Bg	BgBS90	Hepatopancreas	L	C4 BgBS90 L
C.4.BgBS90.O	piwi4	25084.46777	4	C	4	Bg	BgBS90	Ovotestis	O	C4 BgBS90 O
C.4.BgBS90.S	piwi4	21098.65723	4	C	4	Bg	BgBS90	Stomach	S	C4 BgBS90 S
D.3.BgBS90.G	piwi4	704.6308899	2	D	3	Bg	BgBS90	Gut	G	D3 BgBS90 G
D.3.BgBS90.L	piwi4	264.6058655	2	D	3	Bg	BgBS90	Hepatopancreas	L	D3 BgBS90 L
D.3.BgBS90.O	piwi4	8309.713135	2	D	3	Bg	BgBS90	Ovotestis	O	D3 BgBS90 O
D.3.BgBS90.S	piwi4	4531.512451	2	D	3	Bg	BgBS90	Stomach	S	D3 BgBS90 S
D.4.BgBS90.G	piwi4	64682.89063	2	D	4	Bg	BgBS90	Gut	G	D4 BgBS90 G
D.4.BgBS90.L	piwi4	65593.61328	2	D	4	Bg	BgBS90	Hepatopancreas	L	D4 BgBS90 L
D.4.BgBS90.O	piwi4	71394.25781	2	D	4	Bg	BgBS90	Ovotestis	O	D4 BgBS90 O
D.4.BgBS90.S	piwi4	23132.2168	2	D	4	Bg	BgBS90	Stomach	S	D4 BgBS90 S
E.3.BgBS90.G	piwi4	28356.18164	2	E	3	Bg	BgBS90	Gut	G	E3 BgBS90 G
E.3.BgBS90.L	piwi4	17568.31543	2	E	3	Bg	BgBS90	Hepatopancreas	L	E3 BgBS90 L
E.3.BgBS90.O	piwi4	32786.13037	2	E	3	Bg	BgBS90	Ovotestis	O	E3 BgBS90 O
E.3.BgBS90.S	piwi4	5232.902832	2	E	3	Bg	BgBS90	Stomach	S	E3 BgBS90 S
E.4.BgBS90.G	piwi4	53891.10352	2	E	4	Bg	BgBS90	Gut	G	E4 BgBS90 G
E.4.BgBS90.L	piwi4	68755.13672	2	E	4	Bg	BgBS90	Hepatopancreas	L	E4 BgBS90 L
E.4.BgBS90.O	piwi4	43312.64648	2	E	4	Bg	BgBS90	Ovotestis	O	E4 BgBS90 O
E.4.BgBS90.S	piwi4	26029.2627	2	E	4	Bg	BgBS90	Stomach	S	E4 BgBS90 S
F.3.BgBS90.W	piwi4	7757.824707	1	F	3	Bg	BgBS90	Whole snail	W	F3 BgBS90 W
F.4.BgBS90.W	piwi4	16478.30444	1	F	4	Bg	BgBS90	Whole snail	W	F4 BgBS90 W
G.3.BgBS90.W	piwi4	35027.54883	3	G	3	Bg	BgBS90	Whole snail	W	G3 BgBS90 W
G.4.BgBS90.W	piwi4	9446.762085	4	G	4	Bg	BgBS90	Whole snail	W	G4 BgBS90 W
H2O	16s	27.16112137	1	NA	NA	Control	NA	NA	NA	NA
H2O	16s	21.50211334	2	NA	NA	Control	NA	NA	NA	NA
H2O	16s	67.79649734	3	NA	NA	Control	NA	NA	NA	NA
H2O	16s	62.34390259	4	NA	NA	Control	NA	NA	NA	NA
H2O	16s	63.37622643	5	NA	NA	Control	NA	NA	NA	NA
plate1H11_H2O	16s	2733.123169	4	NA	NA	Control	NA	NA	NA	NA
plate1H12_H2O	16s	453.5433197	4	NA	NA	Control	NA	NA	NA	NA
plate2C7_H2O	16s	141.4367294	4	NA	NA	Control	NA	NA	NA	NA
H2O	piwi4	0.94425976	1	NA	NA	Control	NA	NA	NA	NA
H2O	piwi4	1.74601778	2	NA	NA	Control	NA	NA	NA	NA
H2O	piwi4	NA	3	NA	NA	Control	NA	NA	NA	NA
H2O	piwi4	8.0950892	4	NA	NA	Control	NA	NA	NA	NA
H2O	piwi4	38.22691917	5	NA	NA	Control	NA	NA	NA	NA
H.1.Ba.TK.a	16s	15261.25366	1	H	1	Water	Ba	Tank	TK	H1a H2O Ba TK
H.1.Ba.TY.a	16s	45201.34766	4	H	1	Water	Ba	Tray	TY	H1a H2O Ba TY
H.1.Ba.TK.b	16s	80019.16992	4	H	1	Water	Ba	Tank	TK	H1b H2O Ba TK
H.1.Ba.TY.b	16s	19377.13135	2	H	1	Water	Ba	Tray	TY	H1b H2O Ba TY
H.2.Ba.TK.a	16s	1979.826355	2	H	2	Water	Ba	Tank	TK	H2a H2O Ba TK
H.2.Ba.TY.a	16s	338.6911011	4	H	2	Water	Ba	Tray	TY	H2a H2O Ba TY
H.2.Ba.TK.b	16s	4780.037842	4	H	2	Water	Ba	Tank	TK	H2b H2O Ba TK
H.2.Ba.TY.b	16s	143.0108833	2	H	2	Water	Ba	Tray	TY	H2b H2O Ba TY
H.3.BgBS90.TK.a	16s	9405.633545	2	H	3	Water	BgBS90	Tank	TK	H3a H2O BgBS90 TK
H.3.BgBS90.TY.a	16s	7451.096191	4	H	3	Water	BgBS90	Tray	TY	H3a H2O BgBS90 TY
H.3.BgBS90.TK.b	16s	3292.792358	4	H	3	Water	BgBS90	Tank	TK	H3b H2O BgBS90 TK
H.3.BgBS90.TY.b	16s	4757.116089	3	H	3	Water	BgBS90	Tray	TY	H3b H2O BgBS90 TY
H.4.BgBS90.TK.a	16s	275.9431458	2	H	4	Water	BgBS90	Tank	TK	H4a H2O BgBS90 TK
H.4.BgBS90.TY.a	16s	3717.453613	4	H	4	Water	BgBS90	Tray	TY	H4a H2O BgBS90 TY
H.4.BgBS90.TK.b	16s	3587.121277	4	H	4	Water	BgBS90	Tank	TK	H4b H2O BgBS90 TK
H.4.BgBS90.TY.b	16s	1106.580811	3	H	4	Water	BgBS90	Tray	TY	H4b H2O BgBS90 TY
H.1.Ba.TK.a	piwi4	6.22521877	1	H	1	Water	Ba	Tank	TK	H1a H2O Ba TK
H.1.Ba.TY.a	piwi4	2.44072318	4	H	1	Water	Ba	Tray	TY	H1a H2O Ba TY
H.1.Ba.TK.b	piwi4	18.36660147	4	H	1	Water	Ba	Tank	TK	H1b H2O Ba TK
H.1.Ba.TY.b	piwi4	1.18050948	2	H	1	Water	Ba	Tray	TY	H1b H2O Ba TY
H.2.Ba.TK.a	piwi4	1.97656795	2	H	2	Water	Ba	Tank	TK	H2a H2O Ba TK
H.2.Ba.TY.a	piwi4	9.63958263	4	H	2	Water	Ba	Tray	TY	H2a H2O Ba TY
H.2.Ba.TK.b	piwi4	5.62368631	4	H	2	Water	Ba	Tank	TK	H2b H2O Ba TK
H.2.Ba.TY.b	piwi4	1.10104635	2	H	2	Water	Ba	Tray	TY	H2b H2O Ba TY
H.3.BgBS90.TK.a	piwi4	6.96352243	2	H	3	Water	BgBS90	Tank	TK	H3a H2O BgBS90 TK
H.3.BgBS90.TY.a	piwi4	8.44204903	4	H	3	Water	BgBS90	Tray	TY	H3a H2O BgBS90 TY
H.3.BgBS90.TK.b	piwi4	3.12916875	4	H	3	Water	BgBS90	Tank	TK	H3b H2O BgBS90 TK
H.3.BgBS90.TY.b	piwi4	2.43250445	3	H	3	Water	BgBS90	Tray	TY	H3b H2O BgBS90 TY
H.4.BgBS90.TK.a	piwi4	3.91118318	2	H	4	Water	BgBS90	Tank	TK	H4a H2O BgBS90 TK
H.4.BgBS90.TY.a	piwi4	4.42293823	4	H	4	Water	BgBS90	Tray	TY	H4a H2O BgBS90 TY
H.4.BgBS90.TK.b	piwi4	2.71006376	4	H	4	Water	BgBS90	Tank	TK	H4b H2O BgBS90 TK
H.4.BgBS90.TY.b	piwi4	44.45860863	3	H	4	Water	BgBS90	Tray	TY	H4b H2O BgBS90 TY
